87	11	008c64-c415fae6-77ab-455c-9cda-b19c7eaa51a4	2012-09-12 22:36:20.670	administrator	326	2012-09-12 22:43:48.827
89	11	008c64-d3e6d717-3107-4b05-813f-5e80d0c9b03b	2012-09-07 16:46:45.077	epicuser	334	2012-09-14 20:26:45.000
94	11	008c64-d7ce437e-daef-4173-955e-148828737f32	2012-09-25 18:01:49.170	administrator	355	2012-09-25 18:10:15.100
98	11	008c64-11f58436-f273-42e3-970c-6d257837c01c	2012-09-25 18:53:23.453	administrator	367	2012-09-25 19:01:21.410
103	11	008c64-a1ddb1fb-4c2c-4bf3-bab8-aa89573dfc1b	2012-09-25 19:50:34.313	administrator	382	2012-09-25 19:58:20.420
107	11	008c64-9d52b2de-752f-4647-8e91-9afa7cdf6904	2012-09-26 15:49:07.637	administrator	408	2012-09-26 15:57:58.157
111	11	008c64-eb628912-1326-411f-af32-4f9e4b386e5a	2012-09-26 16:59:27.810	administrator	422	2012-09-26 17:07:47.143
115	11	008c64-4e4aae68-ed5e-4127-84d0-d62d6b789d8c	2012-09-26 17:56:29.537	administrator	434	2012-09-26 18:04:24.267
119	11	008c64-1301d885-a971-46c3-8c96-f75f71ed9d0c	2012-09-26 19:25:56.003	administrator	446	2012-09-26 19:34:15.853
122	11	008c64-3391f2e9-a631-464c-bf7c-af5979afef10	2012-09-26 20:00:30.060	administrator	455	2012-09-26 20:10:31.890
132	11	008c64-583801bd-0c25-489b-8201-a4322284e06b	2012-09-27 16:17:01.827	administrator	487	2012-09-27 16:25:04.613
134	11	008c64-322f6708-5b91-449b-9f18-30b7493f05b0	2012-09-27 16:46:26.333	administrator	493	2012-09-27 16:54:44.087
138	11	008c64-03f6b2cd-5149-40c0-82ee-3099fc8662c3	2012-10-03 16:32:11.837	administrator	519	2012-10-03 16:48:47.733
139	11	008c64-ef2d5b8b-2e30-4a4e-b61b-383f80182507	2012-10-03 17:00:32.480	administrator	522	2012-10-03 17:13:18.647
