13267	221	2		9		9
13268	221	3	19		17	
13269	221	4		9		17
13270	221	5		8		8
13271	221	6	13		10	
13272	221	7	11		17	
13273	221	8		16		10
13274	221	10		17		20
13275	221	11	20		12	
13276	221	12	9		10	
13277	221	19	21	11	10	19
13278	221	20	10	21	10	13
13279	221	23	16	15	8	18
13280	221	24	18	17	18	17
13281	221	26	9	15	9	16
13282	221	27	17	14	15	11
13283	221	30	11	9	9	13
13284	221	31	18	20	9	10
13285	221	33	9	18	10	20
13286	221	35	18	9	11	9
13287	221	36	18	9	11	9
13288	221	38	10	18	11	10
13289	221	39	20	9	11	9
13290	221	41	10	22	18	21
13291	221	42	9	10	21	18
13292	221	43	8	12	19	11
13293	221	45	13	13	9	12
13294	221	47	15	13	8	15
13295	221	48	9	10	21	18
13296	221	49	10	9	9	9
13297	221	51		9		11
13298	221	54	10	10	11	10
13299	221	56	20	9	11	9
13300	221	65	18	20	9	10
13301	221	67	11	9	9	13
13302	221	70	8		18	
13303	221	78	9	9	9	9
13304	221	79	9	9	9	9
13305	221	96	16	16	9	14
13306	221	97	16	16	9	14
13307	221	100		9		10
13308	221	101	10		13	
13309	221	106	18	10	9	19
13310	221	108	18	10	9	19
13311	221	120	9		20	
13312	221	122	10	21	10	13
13313	221	142	21	11	10	19
13314	221	144	7	10	19	19
13315	221	145	7	10	19	19
13316	221	146	9	10	8	10
13317	221	147	9	10	8	10
13318	221	148	13	14	10	10
13319	221	149	13	14	10	10
13320	221	150	16	9	10	8
13321	221	151	16	9	10	8
13322	221	152	13	13	9	12
13323	221	155	9	18	10	20
13324	221	159	10	18	11	10
13325	221	161		11		21
13326	221	162	8	12	19	11
13327	221	169	15	13	8	15
13328	221	172	17	17	17	16
13329	221	173	17	17	17	16
13330	221	174	10	10	11	10
13331	221	196	11	8	8	21
13332	221	197	11	8	8	21
13333	221	198	10	9	9	9
13334	221	200	13	8	11	9
13335	221	201	13	8	11	9
13336	221	202	10	22	18	21
13337	221	204	13	13	9	18
13338	221	205	13	13	9	18
13339	221	206	22	19	22	9
13340	221	207	22	19	22	9
13341	221	208	18	17	18	17
13342	221	209	16	15	8	18
13343	221	210	17	14	15	11
13344	221	211	9	15	9	16
14281	234	2		11		18
14282	234	3	16		9	
14283	234	4		10		10
14284	234	5		10		16
14285	234	6	17		16	
14286	234	7	11		19	
14287	234	8		22		12
14288	234	10		21		12
14289	234	11	9		9	
14290	234	12	10		11	
14291	234	19	17	10	21	9
14292	234	20	15	15	10	11
14293	234	23	19	18	12	11
14294	234	24	10	10	19	15
14295	234	26	9	13	10	9
14296	234	27	10	13	11	21
14297	234	30	12	18	19	16
14298	234	31	13	9	20	10
14299	234	33	10	10	12	10
14300	234	35	20	18	11	16
14301	234	36	20	18	11	16
14302	234	38	17	8	18	12
14303	234	39	14	10	10	14
14304	234	41	12	19	17	17
